admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Population2016
Aba North,NG001001,Aba North,<Null>,<Null>,Abia South,NG00103,Abia,NG001,Nigeria,NG,138237
Aba South,NG001002,Aba South,<Null>,<Null>,Abia South,NG00103,Abia,NG001,Nigeria,NG,545102
Abadam,NG008001,Abadam,<Null>,<Null>,Borno North,NG00802,Borno,NG008,Nigeria,NG,136810
Abaji,NG015001,Abaji,<Null>,<Null>,Federal Capital Territory,NG01501,Federal Capital Territory,NG015,Nigeria,NG,124635
Abak,NG003001,Abak,<Null>,<Null>,Akwa Ibom North West,NG00302,Akwa Ibom,NG003,Nigeria,NG,189947
Abakaliki,NG011001,Abakaliki,<Null>,<Null>,Ebonyi North,NG01103,Ebonyi,NG011,Nigeria,NG,196830
Abeokuta North,NG028001,Abeokuta North,<Null>,<Null>,Ogun Central,NG02801,Ogun,NG028,Nigeria,NG,272627
Abeokuta South,NG028002,Abeokuta South,<Null>,<Null>,Ogun Central,NG02801,Ogun,NG028,Nigeria,NG,338910
Abi,NG009001,Abi,<Null>,<Null>,Cross River Central,NG00901,Cross River,NG009,Nigeria,NG,189484
Aboh-Mbaise,NG017001,Aboh-Mbaise,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,262697
Abua/Odual,NG033001,Abua/Odual,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,386461
Abuja Municipal,NG015002,Abuja Municipal,<Null>,<Null>,Federal Capital Territory,NG01501,Federal Capital Territory,NG015,Nigeria,NG,1660338
Adavi,NG023001,Adavi,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,266874
Ado,NG007001,Ado,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,236105
Ado-Odo/Ota,NG028003,Ado-Odo/Ota,<Null>,<Null>,Ogun West,NG02803,Ogun,NG028,Nigeria,NG,713040
Ado Ekiti,NG013001,Ado Ekiti,<Null>,<Null>,Ekiti Central,NG01302,Ekiti,NG013,Nigeria,NG,410855
Afijio,NG031001,Afijio,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,183233
Afikpo North,NG011002,Afikpo North,<Null>,<Null>,Ebonyi South,NG01101,Ebonyi,NG011,Nigeria,NG,203171
Afikpo South,NG011003,Afikpo South,<Null>,<Null>,Ebonyi South,NG01101,Ebonyi,NG011,Nigeria,NG,203769
Agaie,NG027001,Agaie,<Null>,<Null>,Niger South,NG02703,Niger,NG027,Nigeria,NG,181504
Agatu,NG007002,Agatu,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,152478
Agege,NG025001,Agege,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,617548
Aguata,NG004001,Aguata,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,480223
Agwara,NG027002,Agwara,<Null>,<Null>,Niger North,NG02702,Niger,NG027,Nigeria,NG,78406
Ahiazu-Mbaise,NG017002,Ahiazu-Mbaise,<Null>,<Null>,Imo East,NG01701,Imo,NG017,Nigeria,NG,229466
Ahoada East,NG033002,Ahoada East,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,227717
Ahoada West,NG033003,Ahoada West,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,340626
Aiyedade,NG030001,Aiyedade,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,201927
Aiyedire,NG030002,Aiyedire,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,101836
Aiyekire (Gbonyin),NG013002,Aiyekire (Gbonyin),<Null>,<Null>,Ekiti South,NG01301,Ekiti,NG013,Nigeria,NG,197283
Ajaokuta,NG023002,Ajaokuta,<Null>,<Null>,Kogi Central,NG02301,Kogi,NG023,Nigeria,NG,161450
Ajeromi-Ifelodun,NG025002,Ajeromi-Ifelodun,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,918530
Ajingi,NG020001,Ajingi,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,235805
Akamkpa,NG009002,Akamkpa,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,197758
Akinyele,NG031002,Akinyele,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,288641
Akko,NG016001,Akko,<Null>,<Null>,Gombe Central,NG01601,Gombe,NG016,Nigeria,NG,453627
Akoko-Edo,NG012001,Akoko-Edo,<Null>,<Null>,Edo North,NG01203,Edo,NG012,Nigeria,NG,337091
Akoko North East,NG029001,Akoko North East,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,231521
Akoko North West,NG029002,Akoko North West,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,282182
Akoko South East,NG029003,Akoko South East,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,108793
Akoko South West,NG029004,Akoko South West,<Null>,<Null>,Ondo North,NG02902,Ondo,NG029,Nigeria,NG,302897
Akpabuyo,NG009003,Akpabuyo,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,355140
Akuku Toru,NG033004,Akuku Toru,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,213049
Akure North,NG029005,Akure North,<Null>,<Null>,Ondo Central,NG02901,Ondo,NG029,Nigeria,NG,173681
Akure South,NG029006,Akure South,<Null>,<Null>,Ondo Central,NG02901,Ondo,NG029,Nigeria,NG,466200
Akwanga,NG026001,Akwanga,<Null>,<Null>,Nassarawa North,NG02602,Nasarawa,NG026,Nigeria,NG,149715
Albasu,NG020002,Albasu,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,257493
Aleiro,NG022001,Aleiro,<Null>,<Null>,Kebbi Central,NG02201,Kebbi,NG022,Nigeria,NG,87827
Alimosho,NG025003,Alimosho,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,1715554
Alkaleri,NG005001,Alkaleri,<Null>,<Null>,Bauchi South,NG00503,Bauchi,NG005,Nigeria,NG,449876
Amuwo-Odofin,NG025004,Amuwo-Odofin,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,427193
Anambra East,NG004002,Anambra East,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,198916
Anambra West,NG004003,Anambra West,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,217188
Anaocha,NG004004,Anaocha,<Null>,<Null>,Anambra Central,NG00401,Anambra,NG004,Nigeria,NG,369732
Andoni,NG033005,Andoni,<Null>,<Null>,Rivers South East,NG03302,Rivers,NG033,Nigeria,NG,288163
Aninri,NG014001,Aninri,<Null>,<Null>,Enugu West,NG01403,Enugu,NG014,Nigeria,NG,176500
Aniocha North,NG010001,Aniocha North,<Null>,<Null>,Delta North,NG01002,Delta,NG010,Nigeria,NG,140593
Aniocha South,NG010002,Aniocha South,<Null>,<Null>,Delta North,NG01002,Delta,NG010,Nigeria,NG,188785
Anka,NG037001,Anka,<Null>,<Null>,Zamfara West,NG03703,Zamfara,NG037,Nigeria,NG,191036
Ankpa,NG023003,Ankpa,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,352877
Apa,NG007003,Apa,<Null>,<Null>,Benue South,NG00703,Benue,NG007,Nigeria,NG,127719
Apapa,NG025005,Apapa,<Null>,<Null>,Lagos Central,NG02502,Lagos,NG025,Nigeria,NG,291846
Ardo-Kola,NG035001,Ardo-Kola,<Null>,<Null>,Taraba North,NG03502,Taraba,NG035,Nigeria,NG,113742
Arewa-Dandi,NG022002,Arewa-Dandi,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,244992
Argungu,NG022003,Argungu,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,260240
Arochukwu,NG001003,Arochukwu,<Null>,<Null>,Abia North,NG00102,Abia,NG001,Nigeria,NG,218896
Asa,NG024001,Asa,<Null>,<Null>,Kwara Central,NG02401,Kwara,NG024,Nigeria,NG,166881
Asari-Toru,NG033006,Asari-Toru,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,300578
Askira/Uba,NG008002,Askira/Uba,<Null>,<Null>,Borno South,NG00803,Borno,NG008,Nigeria,NG,188583
Atakumosa East,NG030003,Atakumosa East,<Null>,<Null>,Osun East,NG03002,Osun,NG030,Nigeria,NG,102308
Atakumosa West,NG030004,Atakumosa West,<Null>,<Null>,Osun East,NG03002,Osun,NG030,Nigeria,NG,92165
Atiba,NG031003,Atiba,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,231753
Atigbo,NG031004,Atigbo,<Null>,<Null>,Oyo North,NG03102,Oyo,NG031,Nigeria,NG,151302
Augie,NG022004,Augie,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,156139
Auyo,NG018001,Auyo,<Null>,<Null>,Jigawa North-East,NG01801,Jigawa,NG018,Nigeria,NG,172733
Awe,NG026002,Awe,<Null>,<Null>,Nassarawa South,NG02601,Nasarawa,NG026,Nigeria,NG,148586
Awgu,NG014002,Awgu,<Null>,<Null>,Enugu West,NG01403,Enugu,NG014,Nigeria,NG,261515
Awka North,NG004005,Awka North,<Null>,<Null>,Anambra Central,NG00401,Anambra,NG004,Nigeria,NG,146086
Awka South,NG004006,Awka South,<Null>,<Null>,Anambra Central,NG00401,Anambra,NG004,Nigeria,NG,245253
Ayamelum,NG004007,Ayamelum,<Null>,<Null>,Anambra North,NG00402,Anambra,NG004,Nigeria,NG,205505
Babura,NG018002,Babura,<Null>,<Null>,Jigawa North-West,NG01802,Jigawa,NG018,Nigeria,NG,272315
Badagry,NG025006,Badagry,<Null>,<Null>,Lagos West,NG02501,Lagos,NG025,Nigeria,NG,323709
Bade,NG036001,Bade,<Null>,<Null>,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,192508
Bagudo,NG022005,Bagudo,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,316596
Bagwai,NG020003,Bagwai,<Null>,<Null>,Kano North,NG02003,Kano,NG020,Nigeria,NG,220517
Bakassi,NG009005,Bakassi,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,42378
Bakori,NG021001,Bakori,<Null>,<Null>,Katsina South,NG02103,Katsina,NG021,Nigeria,NG,197154
Bakura,NG037002,Bakura,<Null>,<Null>,Zamfara West,NG03703,Zamfara,NG037,Nigeria,NG,250953
Balanga,NG016002,Balanga,<Null>,<Null>,Gombe South,NG01603,Gombe,NG016,Nigeria,NG,285384
Bali,NG035002,Bali,<Null>,<Null>,Taraba Central,NG03501,Taraba,NG035,Nigeria,NG,273406
Bama,NG008003,Bama,<Null>,<Null>,Borno Central,NG00801,Borno,NG008,Nigeria,NG,368705
Barikin Ladi,NG032001,Barikin Ladi,<Null>,<Null>,Plateau North,NG03202,Plateau,NG032,Nigeria,NG,225405
Baruten,NG024002,Baruten,<Null>,<Null>,Kwara North,NG02402,Kwara,NG024,Nigeria,NG,276463
Bassa,NG023004,Bassa,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,184776
Bassa,NG032002,Bassa,<Null>,<Null>,Plateau North,NG03202,Plateau,NG032,Nigeria,NG,240313
Batagarawa,NG021002,Batagarawa,<Null>,<Null>,Katsina Central,NG02101,Katsina,NG021,Nigeria,NG,243619
Batsari,NG021003,Batsari,<Null>,<Null>,Katsina Central,NG02101,Katsina,NG021,Nigeria,NG,275828
Bauchi,NG005002,Bauchi,<Null>,<Null>,Bauchi South,NG00503,Bauchi,NG005,Nigeria,NG,674369
Baure,NG021004,Baure,<Null>,<Null>,Katsina North,NG02102,Katsina,NG021,Nigeria,NG,260580
Bayo,NG008004,Bayo,<Null>,<Null>,Borno South,NG00803,Borno,NG008,Nigeria,NG,107856
Bebeji,NG020004,Bebeji,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,255741
Bekwara,NG009006,Bekwara,<Null>,<Null>,Cross River North,NG00902,Cross River,NG009,Nigeria,NG,138476
Bende,NG001004,Bende,<Null>,<Null>,Abia North,NG00102,Abia,NG001,Nigeria,NG,247068
Biase,NG009007,Biase,<Null>,<Null>,Cross River North,NG00902,Cross River,NG009,Nigeria,NG,221388
Bichi,NG020005,Bichi,<Null>,<Null>,Kano North,NG02003,Kano,NG020,Nigeria,NG,375230
Bida,NG027003,Bida,<Null>,<Null>,Niger South,NG02703,Niger,NG027,Nigeria,NG,256988
Billiri,NG016003,Billiri,<Null>,<Null>,Gombe South,NG01603,Gombe,NG016,Nigeria,NG,271414
Bindawa,NG021005,Bindawa,<Null>,<Null>,Katsina North,NG02102,Katsina,NG021,Nigeria,NG,201093
Binji,NG034001,Binji,<Null>,<Null>,Sokoto North,NG03402,Sokoto,NG034,Nigeria,NG,138624
Biriniwa,NG018003,Biriniwa,<Null>,<Null>,Jigawa North-East,NG01801,Jigawa,NG018,Nigeria,NG,186248
Birni Kudu,NG018004,Birni Kudu,<Null>,<Null>,Jigawa South-West,NG01803,Jigawa,NG018,Nigeria,NG,410071
Birnin-Gwari,NG019001,Birnin-Gwari,<Null>,<Null>,Kaduna Central,NG01901,Kaduna,NG019,Nigeria,NG,333092
Birnin Kebbi,NG022006,Birnin Kebbi,<Null>,<Null>,Kebbi Central,NG02201,Kebbi,NG022,Nigeria,NG,357337
Birnin Magaji,NG037003,Birnin Magaji,<Null>,<Null>,Zamfara North,NG03702,Zamfara,NG037,Nigeria,NG,239827
Biu,NG008005,Biu,<Null>,<Null>,Borno South,NG00803,Borno,NG008,Nigeria,NG,240452
Bodinga,NG034002,Bodinga,<Null>,<Null>,Sokoto South,NG03403,Sokoto,NG034,Nigeria,NG,231517
Bogoro,NG005003,Bogoro,<Null>,<Null>,Bauchi South,NG00503,Bauchi,NG005,Nigeria,NG,115008
Boki,NG009008,Boki,<Null>,<Null>,Cross River Central,NG00901,Cross River,NG009,Nigeria,NG,243579
Bokkos,NG032003,Bokkos,<Null>,<Null>,Plateau Central,NG03201,Plateau,NG032,Nigeria,NG,229504
Boluwaduro,NG030005,Boluwaduro,<Null>,<Null>,Osun Central,NG03001,Osun,NG030,Nigeria,NG,95028
Bomadi,NG010003,Bomadi,<Null>,<Null>,Delta South,NG01003,Delta,NG010,Nigeria,NG,116335
Bonny,NG033007,Bonny,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,294102
Borgu,NG027004,Borgu,<Null>,<Null>,Niger North,NG02702,Niger,NG027,Nigeria,NG,234843
Boripe,NG030006,Boripe,<Null>,<Null>,Osun Central,NG03001,Osun,NG030,Nigeria,NG,187112
Bosso,NG027005,Bosso,<Null>,<Null>,Niger East,NG02701,Niger,NG027,Nigeria,NG,201240
Brass,NG006001,Brass,<Null>,<Null>,Bayelsa East,NG00602,Bayelsa,NG006,Nigeria,NG,242150
Buji,NG018005,Buji,<Null>,<Null>,Jigawa South-West,NG01803,Jigawa,NG018,Nigeria,NG,127417
Bukkuyum,NG037004,Bukkuyum,<Null>,<Null>,Zamfara West,NG03703,Zamfara,NG037,Nigeria,NG,284154
Bungudu,NG037005,Bungudu,<Null>,<Null>,Zamfara Central,NG03701,Zamfara,NG037,Nigeria,NG,346298
Bunkure,NG020006,Bunkure,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,231410
Bunza,NG022007,Bunza,<Null>,<Null>,Kebbi Central,NG02201,Kebbi,NG022,Nigeria,NG,161696
Bursari,NG036002,Bursari,<Null>,<Null>,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,150286
Buruku,NG007004,Buruku,<Null>,<Null>,Benue North West,NG00702,Benue,NG007,Nigeria,NG,268890
Burutu,NG010004,Burutu,<Null>,<Null>,Delta South,NG01003,Delta,NG010,Nigeria,NG,281513
Bwari,NG015003,Bwari,<Null>,<Null>,Federal Capital Territory,NG01501,Federal Capital Territory,NG015,Nigeria,NG,484551
Calabar-Municipal,NG009010,Calabar-Municipal,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,234747
Calabar South,NG009009,Calabar South,<Null>,<Null>,Cross River South,NG00903,Cross River,NG009,Nigeria,NG,250761
Chanchaga,NG027006,Chanchaga,<Null>,<Null>,Niger East,NG02701,Niger,NG027,Nigeria,NG,275080
Charanchi,NG021006,Charanchi,<Null>,<Null>,Katsina Central,NG02101,Katsina,NG021,Nigeria,NG,181634
Chibok,NG008006,Chibok,<Null>,<Null>,Borno South,NG00803,Borno,NG008,Nigeria,NG,90276
Chikun,NG019002,Chikun,<Null>,<Null>,Kaduna Central,NG01901,Kaduna,NG019,Nigeria,NG,486050
Dala,NG020007,Dala,<Null>,<Null>,Kano Central,NG02002,Kano,NG020,Nigeria,NG,567081
Damaturu,NG036003,Damaturu,<Null>,<Null>,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,121213
Damban,NG005004,Damban,<Null>,<Null>,Bauchi Central,NG00501,Bauchi,NG005,Nigeria,NG,206106
Dambatta,NG020008,Dambatta,<Null>,<Null>,Kano North,NG02003,Kano,NG020,Nigeria,NG,281617
Damboa,NG008007,Damboa,<Null>,<Null>,Borno South,NG00803,Borno,NG008,Nigeria,NG,316246
Dan Musa,NG021007,Dan Musa,<Null>,<Null>,Katsina Central,NG02101,Katsina,NG021,Nigeria,NG,150060
Dandi,NG022008,Dandi,<Null>,<Null>,Kebbi North,NG02202,Kebbi,NG022,Nigeria,NG,192065
Dandume,NG021008,Dandume,<Null>,<Null>,Katsina South,NG02103,Katsina,NG021,Nigeria,NG,192360
Dange-Shuni,NG034003,Dange-Shuni,<Null>,<Null>,Sokoto South,NG03403,Sokoto,NG034,Nigeria,NG,256780
Danja,NG021009,Danja,<Null>,<Null>,Katsina South,NG02103,Katsina,NG021,Nigeria,NG,165914
Darazo,NG005005,Darazo,<Null>,<Null>,Bauchi Central,NG00501,Bauchi,NG005,Nigeria,NG,343592
Dass,NG005006,Dass,<Null>,<Null>,Bauchi South,NG00503,Bauchi,NG005,Nigeria,NG,122830
Daura,NG021010,Daura,<Null>,<Null>,Katsina North,NG02102,Katsina,NG021,Nigeria,NG,290008
Dawakin Kudu,NG020009,Dawakin Kudu,<Null>,<Null>,Kano Central,NG02002,Kano,NG020,Nigeria,NG,305207
Dawakin Tofa,NG020010,Dawakin Tofa,<Null>,<Null>,Kano North,NG02003,Kano,NG020,Nigeria,NG,335656
Degema,NG033008,Degema,<Null>,<Null>,Rivers West,NG03303,Rivers,NG033,Nigeria,NG,341101
Dekina,NG023005,Dekina,<Null>,<Null>,Kogi East,NG02302,Kogi,NG023,Nigeria,NG,343584
Demsa,NG002001,Demsa,<Null>,<Null>,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,235871
Dikwa,NG008008,Dikwa,<Null>,<Null>,Borno Central,NG00801,Borno,NG008,Nigeria,NG,144634
Doguwa,NG020011,Doguwa,<Null>,<Null>,Kano South,NG02001,Kano,NG020,Nigeria,NG,204720
Doma,NG026003,Doma,<Null>,<Null>,Nassarawa South,NG02601,Nasarawa,NG026,Nigeria,NG,184266
Donga,NG035003,Donga,<Null>,<Null>,Taraba South,NG03503,Taraba,NG035,Nigeria,NG,175494
Dukku,NG016004,Dukku,<Null>,<Null>,Gombe North,NG01602,Gombe,NG016,Nigeria,NG,278189
Dunukofia,NG004008,Dunukofia,<Null>,<Null>,Anambra Central,NG00401,Anambra,NG004,Nigeria,NG,125036
Dutse,NG018006,Dutse,<Null>,<Null>,Jigawa South-West,NG01803,Jigawa,NG018,Nigeria,NG,322096
Dutsi,NG021011,Dutsi,<Null>,<Null>,Katsina North,NG02102,Katsina,NG021,Nigeria,NG,158417
Dutsin-Ma,NG021012,Dutsin-Ma,<Null>,<Null>,Katsina Central,NG02101,Katsina,NG021,Nigeria,NG,223947
Eastern Obolo,NG003002,Eastern Obolo,<Null>,<Null>,Akwa Ibom South,NG00303,Akwa Ibom,NG003,Nigeria,NG,82680
Ebonyi,NG011004,Ebonyi,<Null>,<Null>,Ebonyi North,NG01103,Ebonyi,NG011,Nigeria,NG,164545
Edati,NG027007,Edati,<Null>,<Null>,Niger South,NG02703,Niger,NG027,Nigeria,NG,218941
Ede North,NG030007,Ede North,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,112558
Ede South,NG030008,Ede South,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,102090
Edu,NG024003,Edu,<Null>,<Null>,Kwara North,NG02402,Kwara,NG024,Nigeria,NG,265917
Efon,NG013003,Efon,<Null>,<Null>,Ekiti Central,NG01302,Ekiti,NG013,Nigeria,NG,115741
Egbado North,NG028004,Egbado North,<Null>,<Null>,Ogun West,NG02803,Ogun,NG028,Nigeria,NG,246217
Egbado South,NG028005,Egbado South,<Null>,<Null>,Ogun West,NG02803,Ogun,NG028,Nigeria,NG,228646
Egbeda,NG031005,Egbeda,<Null>,<Null>,Oyo Central,NG03101,Oyo,NG031,Nigeria,NG,384529
Egbedore,NG030009,Egbedore,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,99942
Egor,NG012002,Egor,<Null>,<Null>,Edo South,NG01201,Edo,NG012,Nigeria,NG,437133
Ehime-Mbano,NG017003,Ehime-Mbano,<Null>,<Null>,Imo North,NG01702,Imo,NG017,Nigeria,NG,175798
Ejigbo,NG030010,Ejigbo,<Null>,<Null>,Osun West,NG03003,Osun,NG030,Nigeria,NG,178094
Ekeremor,NG006002,Ekeremor,<Null>,<Null>,Bayelsa West,NG00603,Bayelsa,NG006,Nigeria,NG,353650
Eket,NG003003,Eket,<Null>,<Null>,Akwa Ibom South,NG00303,Akwa Ibom,NG003,Nigeria,NG,235651
Ekiti,NG024004,Ekiti,<Null>,<Null>,Kwara South,NG02403,Kwara,NG024,Nigeria,NG,72396
Ekiti East,NG013004,Ekiti East,<Null>,<Null>,Ekiti South,NG01301,Ekiti,NG013,Nigeria,NG,183654
Ekiti South West,NG013005,Ekiti South West,<Null>,<Null>,Ekiti South,NG01301,Ekiti,NG013,Nigeria,NG,220027
Ekiti West,NG013006,Ekiti West,<Null>,<Null>,Ekiti Central,NG01302,Ekiti,NG013,Nigeria,NG,239483
Ekwusigo,NG004009,Ekwusigo,<Null>,<Null>,Anambra South,NG00403,Anambra,NG004,Nigeria,NG,205272
Eleme,NG033009,Eleme,<Null>,<Null>,Rivers South East,NG03302,Rivers,NG033,Nigeria,NG,260680
